Genes,ER_coefficient,P53_coefficient,Grade_coefficient
"C8orf4,SLC7A2,INSM1,CARTPT,NTS,PCSK1",1,-1,1
"ASB5,SLC7A2,IGH@,PCSK1,NTS,INSM1,GRIA2,CARTPT,CHGB",1,-1,1
"CLEC3A,MUC5B,RAD51C,CYP2A6,CHGB,CARTPT,GRIA2,INSM1,NTS,PCSK1",1,-1,1
"FAM3B,SLITRK6,SERPINA1,SYT4,BMPR1B,CARTPT,CHGB,GRIA2,INSM1,PCSK1,NTS",1,-1,1
"EFHB,SLITRK6,MUC5B,NTS,GRIA2,CARTPT,INSM1,PCSK1",1,-1,1
"MYCNOS,SLITRK6,IGH@,CHGA,SERPINA1,PCSK1,NTS,INSM1,GRIA2,CARTPT,CHGB",1,-1,1
"CYP2A6,PCSK1,ERBB4,INSM1,GRIA2,GAD1,CARTPT,NTS,SYT4,CHGB",1,-1,1
"GLI4,PCSK1,FAIM2,CARTPT,CHGB,NTS,SYT4,INSM1,GRIA2,APLP1",1,-1,1
"B3GNTL1,PCSK1,LOC730125,GRIN2C,NTS,CHGB,GRIA2,INSM1,CARTPT",1,-1,1
"CRISP1,CYP2A6,SCGB1D2,NTS,PCSK1,SYT4,CHGB,INSM1,GRIA2,CARTPT",1,-1,1
"ARG1,CYP2A6,PCSK1,CLEC3A,CST5,GRIA2,CARTPT,CHGB,SYT4",1,-1,1
"LPCAT4,IGK@,IGLV1-44,IGL@,IGHM,CXCL13,IGHA1,FAM20B,LOC100130100,IGH@,LOC100291464,IGKV4-1,LOC652493,GBP5",1,0,1
"PCSK1,IGHM,IGH@,CD52,IGL@,FAM20B,GBP5,LOC652493,IGHD,CXCL13,MMP1,TRBC1,FABP7,LOC100291464,GABBR1,CCL18,IGKV4-1,IGHA1,IGK@,LOC100130100,IGLJ3,FCRL5,LOC100293440,IGLV1-44",1,0,1
"L1TD1,IGL@,LOC652493,IGHA1,CCL18,GBP5,FAM20B,IGH@,LOC100293440,IGKV4-1,CXCL13,LOC100291464,IGLV1-44,IGHM,LOC100130100,IGK@",1,0,1
"GP2,IGLV1-44,IGL@,GBP5,CXCL13,IGHM,IGH@,IGHA1,TRBC1,IGK@,LOC100130100,LOC100291464,FAM20B,IGKV4-1,LOC100293440,LOC652493",1,0,1
"MKX,HLA-DQA1,IGH@,IGHG1,IGL@,FAM20B,IGLV1-44,CXCL13,LOC652493,TRBC1,IGKV4-1,IGHA1,GBP5,IGK@,IGLJ3,LOC100293440,IGHM,LOC100291464,LOC100130100",1,0,1
"HORMAD1,SCGB1D2,ABCB1,IGHM,CXCL13,FAM20B,IGK@,CCL18,LOC100291464,FCRL5,IGHA1,LOC100293440,IGL@,IGLV1-44,IGH@,IGKV4-1,IGHD,LOC100130100,FABP7,NKG7,MMP1,PIGR,LOC652493",1,0,1
"IGH@,IGHM,BATF3,HLA-DQA1,IGL@,FAM20B,IGLV1-44,CXCL13,LOC652493,IGKV4-1,IGHA1,GBP5,IGK@,LOC100291464,LOC100130100",1,0,1
"TMEM9B,IGL@,CCL18,CXCL11,IGLV3-19,IGH@,FAM20B,LOC652493,IGHD,MMP1,IGHM,FABP7,GABBR1,IGKV4-1,IGK@,LOC100130100,FCRL5,LOC100293440,IGLV1-44",1,0,1
"PKP1,PNMT,NKG7,IGKV4-1,IGH@,IGLV1-44,LOC652493,FCRL5,LOC100291464,MMP1,IGK@,PIGR,TRBC1,IGL@,IGHM,CCL18,LOC100130100,LOC100293440",1,0,1
"IGH@,FABP7,LOC100129884,FAM20B,GABBR1,IGK@,IGL@,FCRL5,LOC100130100,TRBC1,NKG7,LBP,MMP1,IGKV4-1,LOC100293440,CCL18,IGLV1-44,LOC652493,IGHM",1,0,1
"CP,IGH@,FAM20B,IGL@,CCL18,NKG7,IGLV1-44,LOC652493,FABP7,IGK@,FCRL5,LOC100130100,PIGR,MMP1,LOC100293440,IGKV4-1,IGHM",1,0,1
"LOC100129656,SLITRK6,BEX1,PGR,BMPR1B,SLC7A2,INSM1,NTS,PCSK1",1,0,1
"PDC,IGH@,CCL18,C12orf32,NKG7,IGLV1-44,AQP9,LOC652493,FABP7,IGK@,FCRL5,IGL@,IGHA1,LBP,LOC100130100,IGHM,MMP1,LOC100293440,IGKV4-1,GABBR1",1,0,1
"CD72,IGHM,IGL@,IGH@,GABBR1,LOC652493,FCRL5,FABP7,CCL18,LOC100130100,IGLV1-44,FAM20B,LOC100293440,IGKV4-1,IGK@,MMP1",1,0,1
"TSN,CALML5,CCL18,MUC5B,CXCL11,KRT81,ELF5,LOC652493,MMP1,IGH@,IGHM,FABP7,GABBR1,IGKV4-1,IGK@,IGL@,LOC100130100,IGLJ3,NKG7,FCRL5,LOC100293440,IGLV1-44",1,0,1
